key_home,key_away,key_date,key_competition,key_referee,key_stadium,home_goals,away_goals,attendance
15,9,40,1,2,,3,0,9000
20,17,40,1,4,,1,1,12000
4,16,40,1,17,,1,0,26000
2,8,40,1,14,2,4,1,23000
18,19,40,1,12,,1,0,19500
5,14,40,1,9,4,2,0,30000
22,96,24,3,21,,2,0,41000
6,1,41,1,8,5,1,0,12000
15,18,42,1,11,,1,0,10000
19,20,42,1,6,11,1,3,43200
10,6,42,1,13,7,2,0,35600
14,4,43,1,4,10,2,1,35000
16,3,43,1,,,1,1,20000
1,2,43,1,16,1,4,1,22000
9,8,43,1,15,,0,1,13000
17,13,43,1,9,,1,3,29300
11,5,43,1,8,,5,0,84900
12,7,44,1,2,8,3,3,28000
18,9,45,1,16,,3,1,20000
3,14,45,1,18,3,1,2,10000
6,16,45,1,19,5,1,1,13000
4,11,45,1,12,,1,5,40000
5,12,45,1,17,4,1,2,25900
20,15,46,1,,,2,3,12000
7,17,46,1,14,,0,0,18000
2,10,46,1,6,2,0,3,17100
13,19,46,1,,9,1,0,68000
8,1,47,1,3,6,0,0,12800
14,6,48,1,1,10,1,2,38000
11,3,48,1,3,,2,1,71700
16,2,48,1,6,,1,2,20000
19,7,48,1,7,11,1,0,31000
12,4,48,1,18,8,2,1,38500
18,20,49,1,17,,2,0,19000
17,5,49,1,6,,2,1,20000
10,8,49,1,16,7,0,0,35000
9,1,49,1,9,,3,0,18000
15,13,49,1,12,,2,3,15000
2,14,50,1,19,2,1,1,25000
5,19,50,1,13,4,2,3,28000
6,11,50,1,,5,0,4,13000
9,20,51,1,14,,4,1,12000
7,15,51,1,15,,0,0,15000
4,17,51,1,2,,4,0,27000
8,16,51,1,4,6,1,1,15000
13,18,51,1,8,9,4,2,68000
3,12,51,1,,3,0,1,23000
1,10,52,1,11,1,4,1,25000
16,1,53,1,,,2,0,17000
18,7,53,1,1,,4,2,19000
15,5,53,1,16,,0,4,10000
17,3,53,1,7,,1,0,18000
14,8,53,1,9,10,2,1,35000
19,4,53,1,19,11,1,2,36400
12,6,29,1,12,8,2,0,35000
10,9,54,1,4,7,3,0,30000
19,3,55,1,6,11,4,1,36000
11,8,55,1,17,,3,0,88800
